,route stop id,stop number,address id,arrival time,departure time,stop type,unplanned,arrival_driver_id,departure_driver_id,bill_of_lading_id,number of orders,weight of orders,quantity of pieces on orders
2035,2066,2,95,03/31/2016 12:06,03/31/2016 13:03,,False,,,25819,1,8228,11
10613,12232,1,404,10/21/2016 09:58,10/21/2016 10:09,,False,,,34970,1,511,1
23891,11435,2,209,10/06/2016 10:29,10/06/2016 11:36,,False,,,34204,1,886,13
12799,95689,2,147,05/17/2018 07:55,05/17/2018 08:15,,False,85.0,85.0,64762,1,67,1
22455,89828,4,159,04/12/2018 11:03,04/12/2018 11:36,,False,80.0,80.0,62936,1,7418,15
26084,36391,2,382,02/15/2018 17:11,02/15/2018 17:41,,False,93.0,93.0,60035,3,18176,65
14814,124235,4,5153,11/15/2018 11:02,11/15/2018 13:17,,False,77.0,77.0,74416,2,32881,50
13662,125742,1,28359,11/26/2018 13:36,11/26/2018 16:18,,False,107.0,107.0,74806,1,98,1
20265,121772,1,734,10/30/2018 08:30,10/30/2018 09:00,,False,81.0,81.0,73402,1,14384,22
18723,159493,1,4,07/01/2019 13:02,07/01/2019 14:21,,False,118.0,118.0,86888,3,34156,226
15967,36389,4,625,02/15/2018 13:21,02/15/2018 13:56,,False,81.0,81.0,60078,2,19315,21
8610,121122,5,57,10/25/2018 13:50,10/25/2018 14:06,,False,114.0,114.0,73151,1,1033,1
28473,10220,2,183,09/13/2016 10:34,09/13/2016 12:39,,False,,,33108,1,804,2
17976,102080,2,161,06/28/2018 09:46,06/28/2018 10:17,,False,113.0,113.0,66848,1,9792,144
15065,160917,4,33061,07/15/2019 10:31,07/15/2019 11:08,,False,80.0,80.0,87526,4,44467,11
795,146206,2,230,04/01/2019 09:04,04/01/2019 10:00,,False,102.0,102.0,81834,5,6569,18
16727,11289,3,465,10/04/2016 14:31,10/04/2016 15:37,,False,,,34050,1,5603,23
1809,97820,3,7788,05/31/2018 11:47,05/31/2018 11:57,,False,80.0,80.0,65410,2,1884,8
7694,149664,3,1646,04/24/2019 15:51,04/24/2019 17:41,,False,95.0,95.0,83027,3,30328,53
28309,147244,1,132,04/05/2019 06:21,04/05/2019 06:58,,False,121.0,121.0,82081,1,33220,2
1984,183134,3,299,12/11/2019 12:24,12/11/2019 13:15,,False,106.0,106.0,95391,2,6948,24
20317,115187,1,230,09/21/2018 10:16,09/21/2018 10:50,,False,102.0,102.0,71123,4,13665,27
20711,90327,1,5991,04/16/2018 07:33,04/16/2018 08:17,,False,116.0,116.0,63103,1,35990,30
27241,173022,3,32,10/04/2019 13:28,10/04/2019 13:43,,False,135.0,135.0,91886,2,3130,7
23405,177181,2,37159,10/31/2019 08:27,10/31/2019 09:03,,False,124.0,124.0,93333,1,433,2
25947,150401,1,1192,04/26/2019 11:26,04/26/2019 11:43,,False,98.0,98.0,83299,1,7112,25
26463,33724,1,150,12/28/2017 06:50,12/28/2017 17:16,,False,78.0,,57690,1,1916,1
2848,92606,4,32,04/27/2018 10:56,04/27/2018 12:00,,False,91.0,91.0,63762,1,6630,18
6845,162836,6,506,07/26/2019 15:12,07/26/2019 15:32,,False,108.0,108.0,88169,2,3851,4
20237,104430,1,9,07/17/2018 08:28,07/17/2018 09:00,,False,80.0,80.0,67702,3,1724,6
23066,116275,3,35090,09/28/2018 11:20,09/28/2018 12:10,,False,108.0,108.0,71575,1,4920,41
19857,10932,1,532,09/26/2016 10:58,09/26/2016 15:29,,False,,,33696,1,2090,21
7972,188404,1,1054,01/20/2020 06:42,01/20/2020 08:06,,False,120.0,120.0,97281,1,16940,21
2960,148486,5,457,04/12/2019 10:46,04/12/2019 10:57,,False,126.0,126.0,82569,1,700,7
28417,168054,1,34038,09/04/2019 09:17,09/04/2019 09:52,,False,112.0,112.0,90182,2,6420,36
26322,96649,4,363,05/24/2018 10:44,05/24/2018 11:42,,False,76.0,76.0,65158,2,0,14
2470,109346,2,774,08/17/2018 11:37,08/17/2018 12:15,,False,77.0,77.0,69392,1,653,2
583,9432,1,28,08/26/2016 09:02,08/26/2016 11:13,,False,,,32462,1,200,4
8630,142792,1,32,03/15/2019 09:51,03/15/2019 12:24,,False,124.0,124.0,80821,2,46361,77
2357,11204,3,17,10/03/2016 10:31,10/03/2016 12:55,,False,,,33908,4,15934,75
27563,169853,2,943,09/16/2019 11:39,09/16/2019 13:17,,False,126.0,126.0,90851,1,4728,15
16196,38197,3,1169,03/19/2018 07:47,03/19/2018 08:33,,False,80.0,80.0,61666,3,10729,11
6411,161078,5,373,07/12/2019 13:19,07/12/2019 13:33,,False,118.0,118.0,87480,1,4286,33
23367,117860,4,34691,10/05/2018 13:00,10/05/2018 13:15,,False,108.0,108.0,72015,1,2198,6
232,10682,1,842,09/21/2016 09:22,09/21/2016 11:20,,False,,,33496,1,306,16
13473,35769,1,19,02/05/2018 10:01,02/05/2018 11:34,,False,97.0,97.0,59456,1,31733,10
16609,122189,2,299,11/02/2018 11:55,11/02/2018 13:10,,False,106.0,106.0,73659,1,4284,8
22891,96261,1,1534,05/22/2018 06:57,05/22/2018 07:21,,False,81.0,81.0,65026,1,1967,30
27128,120948,1,108,10/24/2018 08:43,10/24/2018 09:20,,False,76.0,76.0,73083,1,2600,10
23749,35709,3,395,02/02/2018 11:46,02/02/2018 12:37,,False,91.0,91.0,59434,1,668,25
493,124397,1,6298,11/16/2018 08:54,11/16/2018 09:19,,False,108.0,108.0,74477,1,3060,4
15758,151265,4,5004,05/02/2019 15:48,05/02/2019 16:07,,False,130.0,130.0,83635,2,8076,14
10206,16033,9,226,01/13/2017 10:45,01/13/2017 10:55,,False,,,39032,1,829,3
28854,164816,3,5197,08/09/2019 10:49,08/09/2019 12:55,,False,112.0,112.0,88939,3,21348,34
14416,111101,4,33799,08/28/2018 12:14,08/28/2018 12:43,,False,118.0,118.0,69908,1,98,1
7802,109131,4,166,08/16/2018 13:32,08/16/2018 13:55,,False,114.0,114.0,69299,1,1380,2
28111,2685,3,194,04/12/2016 11:26,04/12/2016 14:18,,False,,,26303,1,761,1
4594,166385,3,532,08/21/2019 11:55,08/21/2019 12:10,,False,76.0,76.0,89542,1,0,1
17177,166551,1,1739,08/22/2019 08:09,08/22/2019 08:23,,False,99.0,99.0,89513,1,1884,4
22516,165937,6,756,08/19/2019 10:45,08/19/2019 12:43,,False,78.0,78.0,89360,1,16946,14
6975,151633,2,372,05/06/2019 09:06,05/06/2019 09:54,,False,127.0,127.0,83809,1,4053,14
131,103557,2,16,07/11/2018 11:27,07/11/2018 15:08,,False,83.0,83.0,67458,1,15344,8
21669,101368,3,198,06/22/2018 13:08,06/22/2018 13:33,,False,108.0,108.0,66577,2,19855,27
23211,117767,4,27,10/04/2018 16:45,10/04/2018 17:12,,False,97.0,97.0,71972,1,2017,1
1915,96572,5,29679,05/24/2018 09:50,05/24/2018 10:33,,False,78.0,78.0,65136,1,519,1
12192,144297,1,37815,03/22/2019 10:22,03/22/2019 12:31,,False,77.0,77.0,81280,1,1058,24
15185,164696,1,560,08/08/2019 12:40,08/08/2019 14:24,,False,126.0,126.0,88848,1,42690,125
3909,157611,1,480,06/18/2019 10:11,06/18/2019 10:32,,False,103.0,103.0,85811,1,4860,8
14883,165069,1,27,08/12/2019 08:52,08/12/2019 11:02,,False,127.0,127.0,89018,1,2789,1
27776,144564,2,72,03/25/2019 09:31,03/25/2019 10:47,,False,124.0,124.0,81374,2,24927,20
27375,157083,3,5882,06/12/2019 15:52,06/12/2019 17:34,,False,107.0,107.0,85937,2,7167,72
19773,184182,1,8427,12/18/2019 14:40,12/18/2019 15:26,,False,98.0,98.0,95749,1,6760,8
12873,186397,4,681,01/07/2020 11:34,01/07/2020 12:11,,False,114.0,114.0,96564,1,4637,15
6388,88917,3,264,04/06/2018 12:41,04/06/2018 12:59,,False,113.0,113.0,62656,1,643,4
3504,182359,3,29809,12/06/2019 10:26,12/06/2019 10:57,,False,108.0,108.0,95111,1,2137,53
5404,170843,2,15,09/23/2019 13:20,09/23/2019 14:20,,False,123.0,123.0,91203,3,20325,20
14683,163493,4,264,07/31/2019 10:44,07/31/2019 10:54,,False,108.0,108.0,88388,1,255,5
19456,147243,2,100,04/04/2019 13:12,04/04/2019 13:37,,False,118.0,118.0,82079,2,7562,5
11052,117587,1,4868,10/03/2018 08:28,10/03/2018 08:36,,False,103.0,103.0,71889,1,6613,41
24532,123592,1,382,11/12/2018 06:40,11/12/2018 07:07,,False,81.0,81.0,74131,1,4119,32
7301,161773,2,37775,07/18/2019 12:10,07/18/2019 13:12,,False,98.0,98.0,87732,1,4776,5
5216,8979,2,1142,08/17/2016 12:24,08/17/2016 13:42,,False,,,31993,1,30519,41
7193,109298,2,33605,08/17/2018 08:23,08/17/2018 09:14,,False,88.0,88.0,69367,1,6060,1
6949,106060,1,397,07/27/2018 09:39,07/27/2018 10:24,,False,95.0,95.0,68279,1,37171,44
21091,125984,3,1564,11/28/2018 10:25,11/28/2018 10:54,,False,81.0,81.0,74900,1,5860,13
12304,38740,3,1043,03/26/2018 12:43,03/26/2018 13:28,,False,112.0,112.0,62025,1,3200,5
9354,124084,1,560,11/14/2018 08:38,11/14/2018 09:57,,False,107.0,107.0,74335,1,40493,33
11000,4997,3,159,05/31/2016 08:52,05/31/2016 09:08,,False,,,28529,2,6392,9
6003,163218,1,29,07/30/2019 08:44,07/30/2019 09:30,,False,123.0,123.0,88356,3,8514,25
17208,156016,2,902,06/05/2019 10:08,06/05/2019 11:05,,False,127.0,127.0,85512,1,31875,17
9422,158591,4,869,06/24/2019 13:02,06/24/2019 14:15,,False,108.0,108.0,86507,1,216,2
1538,121433,1,32,10/26/2018 14:42,10/26/2018 15:41,,False,116.0,116.0,73241,1,46068,7
29721,165161,5,38747,08/13/2019 11:15,08/13/2019 12:10,,False,108.0,108.0,89068,2,6469,42
13038,186459,4,200,01/07/2020 13:28,01/07/2020 14:08,,False,123.0,123.0,96590,2,8720,0
27006,183968,1,5153,12/17/2019 08:12,12/17/2019 08:45,,False,81.0,81.0,95680,1,10552,14
4459,188524,3,869,01/20/2020 09:27,01/20/2020 10:28,,False,85.0,85.0,97327,2,18193,55
25914,162095,1,461,07/22/2019 05:25,07/22/2019 08:56,,False,86.0,86.0,87883,2,46407,86
8431,119906,6,167,10/18/2018 12:49,10/18/2018 13:24,,False,114.0,114.0,72712,2,618,3
13537,113483,3,132,09/10/2018 09:33,09/10/2018 10:41,,False,107.0,107.0,70507,4,18605,31
15651,159726,3,300,07/02/2019 10:10,07/02/2019 10:41,,False,81.0,81.0,86988,7,7799,25
7917,163439,1,1294,07/31/2019 08:22,07/31/2019 09:05,,False,118.0,118.0,88376,1,45740,24
20107,10409,8,211,09/15/2016 13:04,09/15/2016 13:11,,False,,,33258,1,3064,23
20270,158468,4,4412,06/21/2019 10:27,06/21/2019 10:53,,False,102.0,102.0,86424,1,5364,7
6710,113586,5,406,09/11/2018 13:09,09/11/2018 13:34,,False,113.0,113.0,70547,2,1592,4
23773,150753,3,31795,04/30/2019 09:02,04/30/2019 09:32,,False,108.0,108.0,83446,1,541,5
16221,171008,4,293,09/24/2019 15:14,09/24/2019 15:21,,False,114.0,114.0,91210,1,196,2
12963,122726,1,270,11/07/2018 07:45,11/07/2018 08:09,,False,107.0,107.0,73833,2,37194,7
22814,35661,2,291,02/02/2018 10:24,02/02/2018 11:00,,False,97.0,97.0,59443,1,17728,98
10251,176425,1,174,10/28/2019 07:41,10/28/2019 08:13,,False,107.0,107.0,93054,1,33144,12
5994,34868,2,487,01/19/2018 09:43,01/19/2018 11:16,,False,74.0,74.0,58680,1,10273,1
7855,172073,2,560,09/30/2019 10:36,09/30/2019 13:28,,False,124.0,124.0,91602,1,40598,132
9666,159190,5,169,06/27/2019 15:09,06/27/2019 15:25,,False,114.0,114.0,86738,1,2081,2
22004,142012,1,560,03/12/2019 07:50,03/12/2019 08:52,,False,89.0,89.0,80554,1,46585,9
22409,35567,2,5576,02/01/2018 09:35,02/01/2018 10:12,,False,107.0,107.0,59361,4,3290,16
6330,27402,2,200,08/23/2017 13:33,08/23/2017 17:28,,False,,,51236,2,34080,9
14487,161771,3,372,07/18/2019 09:01,07/18/2019 09:30,,False,126.0,126.0,87755,1,9681,14
11731,6280,2,1167,06/24/2016 12:44,06/27/2016 12:57,,False,,,29675,1,2032,1
7313,175016,5,955,10/17/2019 14:33,10/17/2019 14:35,,False,114.0,114.0,92552,1,5880,4
1739,106083,4,34002,07/27/2018 12:04,07/27/2018 13:19,,False,80.0,80.0,68285,1,1940,4
6285,35160,6,52,01/25/2018 13:42,01/25/2018 14:21,,False,90.0,90.0,58988,4,23218,226
20617,89071,1,5629,04/09/2018 07:27,04/09/2018 07:45,,False,113.0,113.0,62714,1,2509,43
5967,119042,1,291,10/12/2018 15:41,10/12/2018 16:28,,False,121.0,121.0,72391,2,12400,45
19906,99780,2,68,06/13/2018 09:45,06/13/2018 11:05,,False,106.0,106.0,66016,2,1700,13
17659,101909,2,410,06/27/2018 11:27,06/27/2018 11:38,,False,95.0,95.0,66785,1,1577,2
24484,34996,2,5013,01/23/2018 10:51,01/23/2018 12:03,,False,77.0,77.0,58834,1,35476,76
15018,160460,1,40427,07/09/2019 08:11,07/09/2019 09:11,,False,107.0,107.0,87253,2,43728,95
17759,99060,1,1616,06/07/2018 11:08,06/07/2018 11:35,,False,106.0,106.0,65796,1,3015,4
27144,124285,4,31937,11/15/2018 09:33,11/15/2018 10:38,,False,121.0,121.0,74433,2,22390,9
22872,114122,2,3960,09/13/2018 14:15,09/13/2018 14:28,,False,112.0,112.0,70742,1,2638,7
12782,180493,4,481,11/21/2019 14:28,11/21/2019 15:04,,False,123.0,123.0,94464,1,10234,38
11752,171166,5,31646,12/09/2019 08:14,12/09/2019 08:51,,False,80.0,80.0,95178,2,31026,292
25531,184041,6,5629,12/17/2019 10:31,12/17/2019 11:25,,False,80.0,80.0,95696,1,250,2
7199,1544,4,264,03/18/2016 11:42,03/18/2016 11:57,,False,,,25271,3,8285,77
25745,95613,1,52,05/17/2018 12:29,05/17/2018 14:51,,False,90.0,90.0,64706,4,43530,105
30800,36104,2,40,02/09/2018 14:25,02/09/2018 20:50,,False,90.0,90.0,59786,6,27897,21
5789,129569,4,5734,12/28/2018 10:04,12/28/2018 10:30,,False,81.0,81.0,76437,1,1272,4
24435,185191,4,255,12/26/2019 11:41,12/26/2019 12:47,,False,140.0,140.0,96088,1,11677,19
1975,89995,2,151,04/18/2018 10:04,04/18/2018 10:48,,False,93.0,93.0,63278,2,4145,5
7839,10090,1,1571,09/09/2016 10:44,09/09/2016 12:50,,False,,,33007,1,2240,1
18063,92490,2,1218,04/26/2018 09:57,04/26/2018 10:29,,False,112.0,112.0,63687,1,1185,34
13676,132146,4,5262,01/21/2019 10:35,01/21/2019 11:27,,False,93.0,93.0,77544,2,19996,38
25098,164333,1,842,08/06/2019 11:31,08/06/2019 12:10,,False,116.0,116.0,88719,1,2304,40
21939,37237,2,103,03/01/2018 11:02,03/01/2018 11:26,,False,76.0,76.0,60796,1,15273,159
3574,95519,1,30067,05/16/2018 14:25,05/16/2018 15:34,,False,74.0,74.0,64742,2,49975,53
3190,147912,1,275,04/09/2019 10:56,04/09/2019 11:11,,False,98.0,98.0,82323,2,2020,4
26902,102708,1,306,07/05/2018 06:32,07/05/2018 07:38,,False,113.0,113.0,67102,1,3555,2
17929,158386,8,222,06/21/2019 08:48,06/21/2019 10:43,,False,78.0,78.0,86440,1,534,10
8797,164688,2,1040,08/08/2019 10:34,08/08/2019 11:03,,False,98.0,98.0,88774,1,8636,13
3730,105428,2,943,07/24/2018 10:59,07/24/2018 11:51,,False,93.0,93.0,68100,2,4919,18
19360,115886,1,6,09/26/2018 08:31,09/26/2018 09:43,,False,80.0,80.0,71402,1,46911,47
12919,121614,3,35,10/29/2018 14:01,10/29/2018 15:04,,False,123.0,123.0,73338,1,12110,6
10927,37014,2,29809,02/26/2018 07:43,02/26/2018 08:41,,False,80.0,80.0,60572,2,3402,11
2694,99813,2,6372,06/12/2018 15:04,06/12/2018 15:29,,False,107.0,107.0,66022,2,2484,7
2521,169850,5,270,09/16/2019 10:44,09/16/2019 10:51,,False,118.0,118.0,90852,2,611,4
5435,114677,2,31895,09/18/2018 14:49,09/18/2018 17:31,,False,97.0,97.0,70970,1,7780,25
11807,119234,1,30014,10/15/2018 12:58,10/15/2018 13:39,,False,84.0,84.0,72481,1,43000,19
27900,126917,1,36446,12/07/2018 09:53,12/07/2018 11:00,,False,123.0,123.0,75333,1,40555,75
888,187037,1,103,01/13/2020 08:57,01/13/2020 09:40,,False,112.0,112.0,96767,2,23620,52
1071,159377,7,28275,06/28/2019 09:25,06/28/2019 10:12,,False,78.0,78.0,86846,1,5252,7
4945,134491,1,560,02/01/2019 09:53,02/01/2019 12:29,,False,124.0,124.0,78278,2,14356,69
25203,16272,3,147,01/16/2017 11:10,01/16/2017 11:50,,False,,,39061,2,13422,16
15665,171936,3,10,09/30/2019 13:11,09/30/2019 14:09,,False,78.0,78.0,91564,1,10923,12
24055,152239,1,259,05/09/2019 08:17,05/09/2019 08:51,,False,127.0,127.0,84027,1,44430,25
13375,96020,4,125,05/21/2018 13:33,05/21/2018 13:50,,False,114.0,114.0,64948,1,5881,6
5050,1539,2,32,03/18/2016 13:56,03/18/2016 14:20,,False,,,25299,2,3428,0
28956,37051,1,147,02/27/2018 07:10,02/27/2018 07:44,,False,80.0,80.0,60636,2,843,3
9206,37778,2,703,03/12/2018 12:59,03/13/2018 04:49,,False,108.0,89.0,61278,1,556,2
20838,164327,3,94,08/06/2019 08:07,08/06/2019 08:40,,False,77.0,77.0,88660,1,374,4
22539,142995,3,159,03/18/2019 12:40,03/18/2019 13:08,,False,108.0,108.0,80900,3,16425,27
8861,10341,1,19,09/14/2016 13:07,09/14/2016 13:32,,False,,,33182,1,1768,26
10064,139534,1,1676,02/28/2019 15:02,02/28/2019 18:58,,False,106.0,106.0,79909,1,37877,55
11913,16323,2,465,01/17/2017 10:55,01/17/2017 11:40,,False,,,39150,1,3805,4
16160,147260,1,72,04/04/2019 12:57,04/04/2019 13:08,,False,118.0,118.0,82079,1,609,2
23554,99590,1,6372,06/11/2018 12:17,06/11/2018 12:44,,False,97.0,97.0,65941,1,7906,45
3871,101578,2,1234,06/25/2018 08:11,06/25/2018 08:41,,False,113.0,113.0,66647,1,11844,8
27051,183149,1,4552,12/11/2019 06:39,12/11/2019 10:51,,False,129.0,129.0,95397,2,31885,26
5107,190969,2,4214,02/03/2020 10:34,02/03/2020 12:32,,False,124.0,124.0,98155,1,28350,76
23985,89043,2,17,04/09/2018 12:39,04/09/2018 13:02,,False,74.0,74.0,62753,2,3600,0
1537,38965,1,132,03/29/2018 08:50,03/29/2018 09:17,,False,97.0,97.0,62242,3,2100,6
21626,181872,4,37479,12/04/2019 09:23,12/04/2019 10:25,,False,108.0,108.0,94930,1,20882,12
18279,181321,1,40905,12/02/2019 11:28,12/02/2019 12:07,,False,103.0,103.0,94737,1,42612,318
13241,188317,2,468,01/17/2020 09:15,01/17/2020 09:51,,False,106.0,106.0,97261,1,504,8
19610,178204,4,1040,11/07/2019 12:52,11/07/2019 13:12,,False,99.0,99.0,93693,1,1437,14
5093,93198,5,31132,05/02/2018 14:16,05/02/2018 14:42,,False,81.0,81.0,64003,1,8509,91
18686,163095,3,163,07/29/2019 09:44,07/29/2019 10:32,,False,114.0,114.0,88216,4,19036,32
8150,112865,1,976,09/05/2018 09:13,09/05/2018 09:50,,False,103.0,103.0,70277,1,45990,7
2196,157250,1,230,06/13/2019 07:15,06/13/2019 09:45,,False,102.0,102.0,85896,10,18255,32
5090,183872,4,29956,12/16/2019 10:42,12/16/2019 11:35,,False,124.0,124.0,95642,3,1942,4
7956,38014,2,132,03/14/2018 14:48,03/14/2018 17:27,,False,97.0,97.0,61469,2,27837,48
21804,130651,1,36913,01/10/2019 10:56,01/10/2019 12:22,,False,124.0,124.0,76905,1,35334,45
17811,150995,2,145,05/01/2019 09:13,05/01/2019 10:21,,False,114.0,114.0,83514,7,12226,25
2826,103299,2,1762,07/10/2018 13:07,07/10/2018 14:01,,False,90.0,90.0,67351,1,369,1
1481,152880,2,4,05/14/2019 12:27,05/14/2019 14:00,,False,131.0,131.0,84286,2,41874,42
21533,131251,1,8029,01/15/2019 08:55,01/15/2019 09:24,,False,106.0,106.0,77205,1,1729,14
26761,89663,1,91,04/11/2018 13:23,04/11/2018 17:20,,False,90.0,90.0,62852,1,43544,107
20971,171741,6,689,09/30/2019 07:31,09/30/2019 07:38,,False,75.0,75.0,91476,1,100,1
7048,30612,1,15,11/03/2017 08:34,11/03/2017 08:38,,False,,,54897,2,123,56
9883,158594,3,147,06/24/2019 10:09,06/24/2019 11:12,,False,108.0,108.0,86507,2,3769,7
27261,182077,1,83,12/05/2019 12:36,12/05/2019 18:45,,False,106.0,106.0,94988,1,32909,240
18109,104734,5,19,07/18/2018 14:51,07/18/2018 15:31,,False,106.0,106.0,67801,3,4077,5
18029,136406,1,1266,02/14/2019 12:29,02/14/2019 13:34,,False,113.0,113.0,78877,1,44278,115
2232,158790,6,403,06/26/2019 09:56,06/26/2019 10:22,,False,75.0,75.0,86600,2,3587,10
4980,105694,2,517,07/25/2018 12:39,07/25/2018 12:59,,False,85.0,85.0,68147,1,11652,19
8886,167262,2,407,08/28/2019 11:25,08/28/2019 11:49,,False,130.0,130.0,89899,1,3464,12
12327,137272,3,28284,02/18/2019 10:46,02/18/2019 11:19,,False,123.0,123.0,79194,1,4135,18
11789,150855,2,81,04/30/2019 11:24,04/30/2019 12:14,,False,124.0,124.0,83476,2,21111,227
19864,36188,2,160,02/12/2018 14:57,02/12/2018 15:05,,False,91.0,91.0,59861,1,3691,9
29356,173264,2,108,10/07/2019 12:18,10/07/2019 13:02,,False,124.0,124.0,91965,1,13760,110
4105,147218,5,102,04/04/2019 11:21,04/04/2019 11:43,,False,127.0,127.0,82070,1,1836,2
29268,98729,2,15,06/06/2018 13:01,06/11/2018 07:44,,False,93.0,93.0,65716,2,9696,7
8485,128194,4,160,12/13/2018 15:15,12/13/2018 15:50,,False,112.0,112.0,75843,1,11456,16
17851,109382,1,236,08/17/2018 08:10,08/17/2018 09:45,,False,106.0,106.0,69408,1,4365,1
30458,160063,1,32,07/03/2019 10:38,07/03/2019 11:22,,False,124.0,124.0,87106,1,49497,81
13450,112911,1,408,09/05/2018 08:20,09/05/2018 09:47,,False,76.0,76.0,70290,1,2200,3
17883,36786,2,29164,02/22/2018 09:23,02/22/2018 09:58,,False,73.0,73.0,60424,1,19282,11
7384,174441,3,118,10/17/2019 13:03,10/17/2019 15:01,,False,77.0,77.0,92566,1,2700,2
26452,97821,1,517,05/31/2018 07:52,05/31/2018 08:53,,False,80.0,80.0,65410,2,14626,54
12333,120022,2,249,10/19/2018 10:55,10/19/2018 12:03,,False,108.0,108.0,72826,2,1602,3
4802,109129,1,210,08/16/2018 07:37,08/16/2018 10:40,,False,114.0,114.0,69299,1,38718,83
6707,168278,6,174,09/06/2019 08:10,09/06/2019 09:37,,False,107.0,107.0,90271,4,14696,59
14661,11919,1,103,10/14/2016 14:45,10/14/2016 14:47,,False,,,34488,1,2945,13
14876,175769,1,42114,10/23/2019 07:10,10/23/2019 08:06,,False,124.0,124.0,92852,1,8228,6
24621,138179,2,943,02/21/2019 09:09,02/21/2019 09:17,,False,124.0,124.0,79482,1,1802,5
29302,108864,2,168,08/15/2018 15:09,08/15/2018 15:38,,False,97.0,97.0,69244,1,34265,17
4406,8548,2,1310,08/09/2016 10:54,08/09/2016 13:06,,False,,,31637,1,8137,8
14176,127765,3,1534,12/11/2018 09:59,12/11/2018 10:39,,False,81.0,81.0,75662,1,6868,24
22812,129578,2,148,12/28/2018 12:57,12/28/2018 13:24,,False,106.0,106.0,76446,1,4249,10
19265,136368,2,5471,02/12/2019 12:39,02/12/2019 14:04,,False,101.0,101.0,78883,1,14039,38
11395,189924,1,36449,01/28/2020 08:23,01/28/2020 08:57,,False,140.0,140.0,97823,1,2679,16
19354,116063,2,130,10/11/2018 12:04,10/11/2018 12:59,,False,103.0,103.0,72373,1,39850,43
19634,176692,2,560,10/29/2019 11:01,10/29/2019 11:28,,False,106.0,106.0,93153,1,4247,6
22900,164292,1,259,08/06/2019 08:23,08/06/2019 09:00,,False,123.0,123.0,88700,1,1324,1
8168,183358,4,99,12/12/2019 12:05,12/12/2019 12:55,,False,78.0,78.0,95452,1,2720,11
4455,162888,2,25,07/26/2019 15:19,07/26/2019 15:44,,False,118.0,118.0,88182,1,5353,14
