route stop id,address id,arrival time,departure time,number of orders,weight of orders,quantity of pieces on orders
186619,6273,01/08/2020 12:54,01/08/2020 13:18,3,6480,7
120068,6308,10/19/2018 06:40,10/19/2018 08:25,1,3528,243
147732,37353,04/09/2019 09:20,04/09/2019 10:22,1,45000,25
181967,181,12/05/2019 10:07,12/05/2019 11:22,3,2866,33
98019,15,06/04/2018 08:28,06/04/2018 09:23,1,46800,13
156180,9,06/06/2019 13:19,06/06/2019 13:30,1,801,17
163564,560,07/31/2019 09:53,07/31/2019 10:56,2,18345,66
182963,40395,12/10/2019 13:16,12/10/2019 13:39,1,1706,29
2936,73,04/19/2016 11:24,04/19/2016 13:23,2,12450,13
115432,931,09/24/2018 08:40,09/24/2018 09:26,1,3132,4
169432,282,09/13/2019 10:31,09/13/2019 13:15,1,20316,303
111783,6,08/31/2018 08:15,08/31/2018 09:21,1,41916,85
153111,356,05/15/2019 11:14,05/15/2019 11:44,2,10366,482
106779,28022,08/01/2018 12:00,08/01/2018 12:24,1,867,3
34661,29891,01/18/2018 11:10,01/18/2018 12:53,3,13471,26
167879,169,09/03/2019 07:08,09/03/2019 07:50,1,43804,19
130608,37318,01/22/2019 16:06,01/22/2019 20:57,1,47088,17
183526,28404,12/12/2019 13:31,12/12/2019 15:15,1,4374,10
139523,230,02/28/2019 10:19,02/28/2019 10:47,2,8922,13
151058,1040,05/01/2019 11:55,05/01/2019 12:07,1,2908,61
134185,30762,02/01/2019 08:42,02/01/2019 10:15,1,43348,353
135787,300,02/08/2019 09:16,02/08/2019 10:27,8,49466,67
100872,4,06/20/2018 13:40,06/20/2018 16:20,4,41740,38
3675,122,05/03/2016 09:16,05/03/2016 10:26,1,997,2
33474,4936,12/21/2017 13:53,12/21/2017 16:05,2,47181,12
140741,1054,03/06/2019 08:20,03/06/2019 08:36,1,396,1
38170,235,03/16/2018 10:34,03/16/2018 12:17,2,4532,11
128406,217,12/17/2018 14:04,12/17/2018 15:19,1,32400,36
167642,7788,08/30/2019 13:15,08/30/2019 15:38,1,23248,108
97031,53,05/29/2018 08:26,05/29/2018 09:20,1,40237,14
100200,8370,06/14/2018 13:53,06/14/2018 14:18,1,5280,8
5263,99,06/06/2016 10:08,06/06/2016 15:03,1,23665,16
102932,9,07/06/2018 13:22,07/06/2018 13:42,3,7121,18
176420,72,10/26/2019 09:20,10/26/2019 09:28,1,1080,1
115503,32733,09/24/2018 09:39,09/24/2018 11:21,1,17278,19
152608,217,05/13/2019 08:07,05/13/2019 10:50,5,30345,43
182614,35000,12/09/2019 10:11,12/09/2019 10:39,6,21704,236
187390,32,01/11/2020 05:36,01/11/2020 06:45,1,46987,36
184383,42953,12/18/2019 16:13,12/18/2019 16:40,1,5985,21
187373,560,01/13/2020 12:08,01/13/2020 14:57,2,32020,10
35651,381,02/02/2018 07:51,02/02/2018 08:18,1,2030,2
178835,37780,11/12/2019 13:37,11/12/2019 14:01,1,17680,5
184200,34569,12/18/2019 08:52,12/18/2019 10:10,1,1200,1
188905,1317,01/22/2020 14:55,01/22/2020 15:19,1,0,1
127092,96,12/06/2018 14:45,12/06/2018 15:36,2,13137,34
160919,312,07/12/2019 06:00,07/12/2019 08:29,1,27668,25
103557,16,07/11/2018 11:27,07/11/2018 15:08,1,15344,8
93421,1167,05/03/2018 14:26,05/03/2018 14:57,1,1412,4
98643,15,06/05/2018 14:45,06/05/2018 15:49,4,20188,20
102446,3960,07/02/2018 09:13,07/02/2018 09:54,1,1276,5
113626,681,09/11/2018 11:48,09/11/2018 12:34,5,3539,7
6964,5926,07/11/2016 12:26,07/11/2016 12:42,1,4400,33
38675,57,03/26/2018 12:33,03/26/2018 13:40,1,15305,67
117691,4868,10/04/2018 09:25,10/04/2018 09:49,1,19737,151
130031,1215,01/04/2019 09:37,01/04/2019 09:51,1,4603,15
116853,560,10/01/2018 10:17,10/01/2018 12:00,2,47287,60
118427,194,10/10/2018 12:39,10/10/2018 12:51,1,698,5
174137,28,10/11/2019 11:07,10/11/2019 22:51,1,9490,2
93961,342,05/07/2018 09:15,05/07/2018 09:45,1,6319,28
103199,5439,07/09/2018 07:55,07/09/2018 08:19,1,612,2
170865,382,09/24/2019 06:29,09/24/2019 07:06,1,499,1
96156,409,05/22/2018 12:41,05/22/2018 13:14,2,7311,56
22300,32,05/16/2017 13:58,05/17/2017 06:57,1,1522,4
92134,75,04/24/2018 11:40,04/24/2018 12:42,1,32615,17
132942,35975,01/24/2019 15:38,01/24/2019 16:05,1,14238,7
161628,216,07/17/2019 11:55,07/17/2019 12:10,1,8092,68
128634,7740,12/18/2018 10:13,12/18/2018 10:22,1,1000,1
149488,4,04/22/2019 09:46,04/22/2019 11:08,4,6896,28
90101,217,04/13/2018 07:54,04/13/2018 08:29,1,10370,63
111016,163,08/28/2018 09:55,08/28/2018 10:29,1,12540,4
151626,39189,05/06/2019 13:39,05/06/2019 16:18,2,11637,103
127433,560,12/10/2018 08:35,12/10/2018 10:19,2,38901,93
108510,165,08/14/2018 08:27,08/14/2018 09:02,1,12760,2
142644,121,03/14/2019 14:43,03/14/2019 15:05,1,6260,3
188343,943,01/17/2020 08:43,01/17/2020 09:06,1,3000,20
95662,32,05/17/2018 14:55,05/17/2018 15:50,3,9539,57
151392,446,05/03/2019 11:53,05/03/2019 13:15,1,16800,21
112112,29029,09/04/2018 14:25,09/04/2018 14:51,1,2120,3
181871,165,12/04/2019 07:59,12/04/2019 08:50,3,22971,12
39015,799,03/29/2017 09:29,03/29/2018 09:29,1,14503,17
104232,70,07/16/2018 09:33,07/16/2018 09:55,1,691,2
104442,125,07/17/2018 13:08,07/17/2018 13:39,2,1058,21
189257,560,01/24/2020 07:36,01/24/2020 08:44,1,49598,38
183393,4871,12/12/2019 10:55,12/12/2019 10:59,1,210,1
33956,132,01/03/2018 13:31,01/03/2018 13:45,3,29638,23
35315,503,01/29/2018 11:46,01/29/2018 12:33,3,3250,10
144988,373,03/27/2019 05:56,03/27/2019 07:15,1,17856,30
7899,27,07/28/2016 13:24,07/28/2016 15:19,1,15920,13
110124,264,08/22/2018 10:26,08/22/2018 10:51,1,8314,4
88728,61,04/05/2018 06:20,04/05/2018 07:20,1,21947,35
121880,30051,10/31/2018 15:18,10/31/2018 16:10,1,6840,4
112127,4581,09/04/2018 14:16,09/04/2018 14:33,1,1022,28
133948,1169,01/30/2019 16:31,01/30/2019 17:03,1,1044,2
160512,221,07/12/2019 12:00,07/12/2019 13:09,2,30807,73
91907,15,04/23/2018 12:09,04/23/2018 13:29,1,45429,34
139221,1676,02/27/2019 10:42,02/27/2019 11:31,2,9196,61
115141,96,09/20/2018 07:24,09/20/2018 07:49,3,7703,28
161599,200,07/17/2019 09:28,07/17/2019 10:09,1,6300,4
163758,256,08/02/2019 12:17,08/02/2019 13:18,1,14619,21
176969,1791,10/30/2019 15:13,10/30/2019 15:25,1,55,1
4501,235,05/19/2016 13:55,05/19/2016 15:28,1,7880,13
119763,261,10/17/2018 13:58,10/17/2018 14:18,1,714,1
36460,352,02/16/2018 09:05,02/16/2018 09:55,2,16956,60
117572,403,10/03/2018 11:12,10/03/2018 11:48,1,1104,3
100153,720,06/14/2018 15:39,06/14/2018 15:49,2,20496,17
115144,30314,09/20/2018 11:00,09/20/2018 11:40,1,33624,48
165193,3141,08/13/2019 13:09,08/13/2019 14:09,3,17054,48
4650,14,05/23/2016 09:44,05/23/2016 10:07,1,25313,135
11523,408,10/07/2016 09:44,10/07/2016 10:19,1,8820,3
111150,34514,08/29/2018 13:24,08/29/2018 14:35,1,15049,31
134414,446,02/01/2019 10:03,02/01/2019 10:19,1,77,3
99734,176,06/12/2018 13:01,06/12/2018 13:36,2,1480,9
152453,307,05/10/2019 08:07,05/10/2019 09:20,2,19966,17
101113,160,06/21/2018 09:37,06/21/2018 11:24,1,15702,12
119775,15,10/19/2018 12:24,10/19/2018 14:29,6,16672,37
163372,1668,07/30/2019 10:02,07/30/2019 11:23,1,13920,6
158992,35975,06/26/2019 09:37,06/26/2019 10:21,1,46650,88
105650,1778,07/25/2018 12:08,07/25/2018 12:30,2,18574,7
114065,10993,09/13/2018 10:27,09/13/2018 12:54,1,256,1
153737,25,05/20/2019 09:24,05/20/2019 10:24,1,27593,174
189771,211,01/27/2020 10:58,01/27/2020 11:16,2,8124,54
126769,1127,12/04/2018 10:55,12/04/2018 12:01,1,6617,5
128385,230,12/17/2018 07:34,12/17/2018 08:35,4,4385,13
165094,1032,08/12/2019 11:34,08/12/2019 13:21,3,2887,16
25430,410,07/18/2017 12:49,07/19/2017 16:27,1,913,1
159411,29204,07/02/2019 12:44,07/02/2019 13:30,1,39599,48
96002,2896,05/21/2018 13:58,05/21/2018 14:24,1,2998,1
94019,68,05/08/2018 10:31,05/08/2018 13:29,1,46330,18
100408,157,06/15/2018 09:08,06/15/2018 09:20,1,924,6
160234,251,07/05/2019 07:56,07/05/2019 08:26,1,3600,2
164119,492,08/05/2019 11:06,08/05/2019 11:57,1,2677,9
159473,40242,06/28/2019 07:50,06/28/2019 09:39,1,9733,10
127770,261,12/11/2018 10:41,12/11/2018 10:43,1,10938,21
116074,269,09/27/2018 11:32,09/27/2018 12:04,1,2894,6
146684,32,04/02/2019 13:47,04/02/2019 15:02,1,26691,185
171915,36115,09/30/2019 08:25,09/30/2019 09:20,1,41899,28
131200,407,01/15/2019 08:21,01/15/2019 08:54,1,1798,4
161558,311,07/17/2019 12:50,07/17/2019 14:31,1,4020,3
95211,10922,05/15/2018 09:53,05/15/2018 11:51,1,4604,54
102641,1490,07/03/2018 09:48,07/03/2018 10:17,2,23981,145
94297,541,05/09/2018 09:07,05/09/2018 09:50,1,4317,6
100043,15,06/14/2018 10:10,06/14/2018 10:49,1,46650,11
124424,29028,11/16/2018 07:53,11/16/2018 09:24,10,53597,149
184339,216,12/18/2019 11:54,12/18/2019 12:10,2,11928,100
148032,6308,04/10/2019 07:04,04/10/2019 07:43,1,4806,54
149501,29860,04/22/2019 16:06,04/22/2019 16:32,1,4494,17
10682,842,09/21/2016 09:22,09/21/2016 11:20,1,306,16
148811,35746,04/16/2019 10:06,04/16/2019 10:37,1,2397,101
150984,39038,05/01/2019 08:07,05/01/2019 09:40,2,13788,9
151207,356,05/02/2019 12:43,05/02/2019 13:20,5,10100,84
186077,582,01/06/2020 10:30,01/06/2020 11:13,1,6086,4
144982,16,03/26/2019 09:18,03/26/2019 10:05,2,15564,47
108550,71,08/14/2018 07:44,08/14/2018 13:07,6,13067,188
37289,249,03/02/2018 12:30,03/02/2018 14:08,2,7560,0
171823,4851,09/27/2019 11:59,09/27/2019 12:53,1,16308,28
172379,40396,10/01/2019 14:51,10/01/2019 15:02,1,1652,2
180876,28275,11/25/2019 07:40,11/25/2019 08:33,1,953,20
37887,5126,03/13/2018 11:30,03/13/2018 12:27,2,1883,37
171183,31646,09/25/2019 07:31,09/25/2019 09:03,2,16078,421
102809,560,07/05/2018 10:14,07/05/2018 10:56,2,11089,5
35536,6327,01/31/2018 10:43,01/31/2018 14:57,1,44990,43
124238,1703,11/15/2018 10:21,11/15/2018 11:02,1,36,1
88949,333,04/06/2018 13:28,04/06/2018 14:42,3,4134,5
177432,42298,11/04/2019 07:09,11/04/2019 07:52,1,9292,359
161890,259,07/19/2019 15:07,07/19/2019 16:05,3,21324,42
90001,1490,04/12/2018 15:03,04/12/2018 15:30,1,10395,2
107145,291,08/03/2018 13:07,08/03/2018 14:22,4,36936,34
127344,5629,12/07/2018 06:55,12/07/2018 07:29,1,3988,5
158449,15,06/21/2019 11:58,06/21/2019 13:43,4,41843,29
135963,96,02/12/2019 11:24,02/12/2019 12:29,2,27282,100
149865,5153,04/24/2019 09:45,04/24/2019 10:09,2,6364,19
104165,49,07/16/2018 08:49,07/16/2018 09:32,1,569,1
119901,558,10/18/2018 13:46,10/18/2018 14:14,1,20226,137
93335,28275,05/04/2018 08:38,05/04/2018 09:05,1,5736,20
37291,382,03/02/2018 06:22,03/02/2018 07:01,1,11874,18
116057,4,10/01/2018 15:16,10/01/2018 16:34,2,46991,21
147906,363,04/09/2019 08:43,04/09/2019 09:03,1,614,15
154623,37363,05/24/2019 11:10,05/24/2019 13:48,2,26848,26
120802,35775,10/23/2018 12:45,10/23/2018 13:00,1,977,1
145187,5734,03/27/2019 08:06,03/27/2019 08:53,1,8219,8
129451,902,01/03/2019 12:39,01/03/2019 13:47,3,42085,42
155194,37223,05/30/2019 15:51,05/30/2019 17:01,1,1212,6
186948,132,01/09/2020 07:47,01/09/2020 08:29,2,3254,15
154410,91,05/24/2019 11:01,05/24/2019 11:17,1,11703,168
187300,5641,01/13/2020 13:22,01/13/2020 13:48,1,1704,12
95942,29407,05/22/2018 11:06,05/22/2018 11:42,3,2172,7
100403,352,06/15/2018 08:48,06/15/2018 09:18,1,4099,6
154911,1657,05/29/2019 06:22,05/29/2019 07:48,1,952,4
155413,32,06/01/2019 12:03,06/01/2019 14:04,1,46980,133
115578,4857,09/24/2018 08:13,09/24/2018 08:28,1,920,2
9972,632,09/08/2016 09:28,09/08/2016 12:07,1,6613,1980
169411,8213,09/12/2019 07:50,09/12/2019 08:37,1,10009,13
124840,300,11/20/2018 11:23,11/20/2018 15:14,3,11254,92
38882,356,03/28/2018 14:01,03/28/2018 14:37,1,14153,25
34229,259,01/09/2018 08:16,01/09/2018 08:40,1,45539,60
119072,1045,10/12/2018 14:12,10/12/2018 14:48,1,3825,246
129640,519,01/02/2019 07:42,01/02/2019 08:19,2,48820,39
186423,560,01/08/2020 07:14,01/08/2020 08:45,1,48493,116
150117,123,04/25/2019 10:13,04/25/2019 10:28,1,1692,8
146641,15,04/02/2019 12:59,04/02/2019 14:02,1,46447,15
159789,465,07/02/2019 12:18,07/02/2019 13:52,1,34101,6
107520,5151,08/07/2018 09:38,08/07/2018 10:37,1,3880,2
113786,147,09/12/2018 10:31,09/12/2018 11:01,2,7978,12
146119,73,04/01/2019 08:50,04/01/2019 10:36,7,10263,231
101971,1762,06/27/2018 14:31,06/27/2018 15:30,1,5602,12
175047,403,10/17/2019 09:19,10/17/2019 10:30,1,40320,14
164384,5923,08/07/2019 14:04,08/07/2019 14:13,1,2547,2
132731,560,01/23/2019 14:18,01/23/2019 17:06,5,21789,15
9376,15,08/25/2016 14:51,08/25/2016 15:52,3,23284,105
16463,1571,01/19/2017 12:40,01/19/2017 14:05,5,19677,83
144965,36115,03/26/2019 09:55,03/26/2019 11:06,2,8647,61
23591,49,06/12/2017 13:57,06/12/2017 14:45,3,36564,126
151049,1231,05/01/2019 09:30,05/01/2019 09:46,1,164,1
129905,35917,01/04/2019 10:36,01/04/2019 10:56,1,1363,5
92441,6024,04/26/2018 07:17,04/26/2018 09:18,1,8857,8
94373,4,05/10/2018 12:28,05/10/2018 13:24,1,48875,33
8011,701,07/29/2016 12:41,07/29/2016 13:34,1,6020,19
157100,102,06/13/2019 09:05,06/13/2019 11:17,7,21586,40
9254,434,08/24/2016 14:12,08/24/2016 14:23,1,5900,23
36246,104,02/13/2018 08:47,02/13/2018 09:44,1,13680,4
160981,6308,07/12/2019 10:32,07/12/2019 10:51,1,401,30
167089,36849,08/28/2019 14:36,08/28/2019 15:03,1,4563,23
106586,291,07/31/2018 13:19,07/31/2018 14:16,2,35970,121
111161,27446,08/30/2018 14:54,08/30/2018 16:25,3,11310,3
105318,181,07/23/2018 08:40,07/23/2018 09:18,1,5760,11
127333,8449,12/07/2018 14:00,12/07/2018 14:20,1,1395,26
115368,103,09/21/2018 09:08,09/21/2018 10:06,2,17031,166
134976,71,02/05/2019 06:58,02/05/2019 07:43,1,9877,190
183907,382,12/17/2019 14:02,12/17/2019 14:39,2,11952,27
116273,1356,09/28/2018 13:50,09/28/2018 14:30,1,328,29
117555,67,10/03/2018 13:15,10/03/2018 13:44,2,8531,20
97881,6327,05/31/2018 11:19,05/31/2018 14:07,2,38009,125
158188,235,06/20/2019 15:16,06/20/2019 15:51,4,9560,11
110548,34464,08/24/2018 10:40,08/24/2018 12:39,1,1744,6
109132,289,08/16/2018 10:42,08/16/2018 10:51,1,817,1
122113,1321,11/01/2018 08:31,11/01/2018 08:55,1,14825,77
166493,300,08/22/2019 12:54,08/22/2019 13:44,7,29650,49
129948,168,01/04/2019 08:10,01/04/2019 08:48,1,780,1
149254,33605,04/18/2019 11:11,04/18/2019 12:14,1,750,1
120016,96,10/19/2018 10:07,10/19/2018 11:43,2,10225,26
129013,588,12/20/2018 09:06,12/20/2018 09:42,1,18089,11
117436,8029,10/02/2018 14:58,10/02/2018 16:22,1,10680,29
115926,1775,09/27/2018 10:33,09/27/2018 11:45,2,49145,143
177496,72,11/02/2019 08:29,11/02/2019 09:09,1,46080,24
167885,167,09/03/2019 11:54,09/03/2019 12:20,2,2808,8
179042,1317,11/13/2019 13:05,11/13/2019 13:37,1,8085,3
113246,34691,09/07/2018 07:43,09/07/2018 08:10,1,11913,23
89098,30564,04/09/2018 09:18,04/09/2018 10:19,1,8930,19
176693,3078,10/29/2019 11:10,10/29/2019 12:00,1,685,12
187739,15,01/15/2020 10:42,01/15/2020 12:11,3,47140,21
7389,61,07/18/2016 11:42,07/18/2016 13:58,4,47856,124
165696,5004,08/15/2019 08:22,08/15/2019 08:41,1,1541,5
185298,30235,12/31/2019 05:28,12/31/2019 06:42,1,14840,17
94836,244,05/11/2018 13:49,05/11/2018 14:30,2,4112,23
153329,100,05/16/2019 09:05,05/16/2019 09:51,1,2911,7
123211,210,11/08/2018 14:57,11/08/2018 15:16,2,15701,14
158715,382,06/25/2019 06:26,06/25/2019 07:06,1,22793,19
186878,31804,01/09/2020 13:09,01/09/2020 13:31,1,660,1
146124,27875,04/01/2019 13:31,04/01/2019 15:41,1,5381,2
17564,6273,02/09/2017 08:40,02/09/2017 09:50,1,4368,8
99117,259,06/07/2018 08:49,06/07/2018 09:12,1,2775,67
166221,226,08/21/2019 08:18,08/21/2019 08:41,2,112,7
189941,97,01/28/2020 13:37,01/28/2020 14:35,1,42625,7
38276,4,03/19/2018 13:54,03/19/2018 17:35,1,43717,167
131473,45,01/16/2019 12:47,01/16/2019 13:30,2,1085,6
99341,893,06/11/2018 11:26,06/11/2018 12:07,2,47966,65
143057,30918,03/18/2019 10:38,03/18/2019 11:04,1,5916,8
92500,748,04/26/2018 09:36,04/26/2018 09:47,1,1199,34
134064,560,01/30/2019 13:56,01/30/2019 15:13,1,46955,104
177591,299,11/04/2019 12:09,11/04/2019 18:42,1,648,1
138332,29404,02/22/2019 10:17,02/22/2019 10:45,1,921,13
35893,5629,02/07/2018 08:13,02/07/2018 08:36,4,12275,25
37117,738,02/28/2018 09:30,02/28/2018 09:46,1,3240,8
155997,289,06/05/2019 11:20,06/05/2019 12:05,1,42910,18
172516,251,10/02/2019 13:43,10/02/2019 14:05,1,96,1
159467,94,06/28/2019 11:04,06/28/2019 11:26,3,2590,8
6068,5922,06/21/2016 13:28,06/21/2016 14:24,1,625,5
164554,270,08/07/2019 07:32,08/07/2019 07:55,2,24084,11
91364,71,04/19/2018 11:46,04/19/2018 12:16,1,1634,1
143726,300,03/20/2019 09:59,03/20/2019 10:39,6,22775,52
35323,17,01/29/2018 09:48,01/29/2018 10:14,1,8400,2
98825,29164,06/06/2018 09:45,06/06/2018 10:38,1,916,1
184241,222,12/18/2019 14:18,12/18/2019 14:26,1,574,1
144377,6301,03/26/2019 09:54,03/26/2019 11:27,2,36336,82
36547,97,02/19/2018 09:14,02/19/2018 10:21,1,47150,24
187802,40233,01/15/2020 11:02,01/15/2020 11:41,1,39287,28
133778,5004,01/29/2019 09:54,01/29/2019 10:51,2,7791,8
173273,32730,10/07/2019 09:22,10/07/2019 10:08,1,1484,5
186867,40233,01/09/2020 08:10,01/09/2020 10:42,3,19310,27
101054,33038,06/20/2018 14:17,06/20/2018 14:18,1,5076,47
131955,32,01/18/2019 11:40,01/18/2019 12:09,2,3999,20
109088,743,08/16/2018 11:25,08/16/2018 11:48,1,8024,9
118102,534,10/08/2018 13:52,10/08/2018 14:28,1,1142,10
136479,35209,02/13/2019 14:45,02/13/2019 15:12,1,2400,3
96996,17,05/25/2018 12:24,05/25/2018 12:55,1,20486,101
104299,32818,07/16/2018 13:30,07/16/2018 14:26,1,10018,85
167472,948,08/29/2019 09:08,08/29/2019 10:13,1,16709,18
155691,194,06/05/2019 08:17,06/05/2019 09:07,2,4660,3
170184,41605,09/18/2019 12:08,09/18/2019 13:33,1,30960,4
34603,28284,01/15/2018 09:47,01/15/2018 10:28,1,6058,24
122966,36084,11/07/2018 08:02,11/07/2018 08:26,1,4068,17
92127,4581,04/24/2018 13:51,04/24/2018 15:00,1,9938,13
96955,1791,05/29/2018 07:26,05/29/2018 08:23,1,0,35
104661,204,07/18/2018 14:04,07/19/2018 12:31,1,6361,15
160275,40241,07/08/2019 12:32,07/08/2019 14:10,1,5359,4
164491,38333,08/07/2019 12:01,08/07/2019 13:04,1,40000,25
8286,404,08/04/2016 14:55,08/04/2016 15:24,1,5813,38
142423,395,03/13/2019 09:25,03/13/2019 10:02,1,979,3
105137,176,07/20/2018 10:40,07/20/2018 11:30,1,7466,11
157514,1792,06/17/2019 11:00,06/17/2019 12:43,2,4578,19
149861,5406,04/24/2019 08:34,04/24/2019 09:45,2,2580,4
1968,434,03/29/2016 12:49,03/29/2016 14:27,1,6006,20
133142,144,01/25/2019 09:15,01/25/2019 10:29,1,30620,59
93310,2716,05/03/2018 12:43,05/03/2018 14:05,1,1354,2
185247,32899,12/26/2019 08:51,12/26/2019 09:51,1,7492,15
107429,15,08/06/2018 12:11,08/06/2018 13:13,2,44004,42
129740,84,01/02/2019 15:38,01/02/2019 17:47,1,20859,52
155625,503,06/03/2019 12:38,06/03/2019 13:00,1,346,1
187977,38893,01/16/2020 06:55,01/16/2020 07:43,1,17975,42
165184,1305,08/13/2019 12:16,08/13/2019 12:47,1,2520,1
138650,371,02/25/2019 08:21,02/25/2019 08:46,4,3059,20
106619,27,08/03/2018 10:25,08/03/2018 12:25,3,34080,49
